hash count mean4 stdev4 median4 min4 max4 mean8 stdev8 median8 min8 max8
2016-05 61554 3847.125 64.51828713628409 3839.0 3723 3975 240.4453125 15.666848256025963 240.5 198 295
2016-06 61909 3869.3125 61.96744987289698 3865.5 3767 3980 241.83203125 15.562597557895772 242.0 205 292
2016-07 62154 3884.625 65.68378319646334 3874.5 3759 4006 242.7890625 15.810722401936408 243.0 210 289
2016-08 61774 3860.875 68.79487172020892 3847.5 3749 4010 241.3046875 15.715765667868165 241.0 203 296
2016-09 61779 3861.1875 68.79972633484816 3841.5 3751 4003 241.32421875 15.442697738806793 241.0 209 297
2016-10 62371 3898.1875 68.29002374981283 3874.5 3798 4046 243.63671875 15.592618301087166 243.0 206 297
2016-11 62547 3909.1875 64.16893597177688 3897.0 3802 4048 244.32421875 15.811646449758117 244.0 209 296
2016-12 62698 3918.625 63.611982951327654 3906.0 3812 4068 244.9140625 15.32309701875224 245.0 212 294
2017-01 63186 3949.125 60.92708244286772 3938.0 3828 4086 246.8203125 15.512562244914402 247.0 211 299
2017-02 69603 4350.1875 62.29488216338482 4362.0 4208 4495 271.88671875 16.646334389540492 271.0 230 319
2017-03 69579 4348.6875 62.49871873686692 4349.5 4219 4487 271.79296875 16.9099207364057 271.0 229 325
2017-04 71046 4440.375 56.43345085142322 4448.5 4331 4554 277.5234375 16.84370470483242 277.0 233 331
2017-05 71308 4456.75 51.217062586602914 4460.5 4376 4541 278.546875 16.745969372788636 279.0 240 328
2017-06 70372 4398.25 50.55257164576299 4405.0 4318 4478 274.890625 16.56933084374185 276.0 232 319
2017-07 78431 4901.9375 46.10649188292252 4901.5 4838 4997 306.37109375 17.022703829847682 305.0 262 348
2017-08 62245 3890.3125 47.32298430731097 3881.0 3796 3989 243.14453125 15.091602117329142 242.0 201 280
2017-09 62437 3902.3125 49.25154661277146 3893.5 3821 3988 243.89453125 15.245664386728885 243.0 200 282
2017-10 62673 3917.0625 49.899234400439454 3908.5 3824 4006 244.81640625 15.08185622146561 244.0 206 284
2017-11 62906 3931.625 53.182322015872906 3925.5 3852 4029 245.7265625 14.907378020080987 244.5 206 288
2017-12 62336 3896 56.482298111886344 3882.0 3820 4009 243.5 15.1811972518639 243.0 203 289
2018-01 63423 3963.9375 51.763245587482245 3955.0 3887 4066 247.74609375 15.26388917891541 248.0 210 292
2018-02 62456 3903.5 58.08399090971625 3904.0 3808 4025 243.96875 15.191196823736437 243.0 204 284
2018-03 62375 3898.4375 53.42631461882805 3905.5 3798 4012 243.65234375 14.96089415382102 242.0 203 282
2018-04 60696 3793.5 47.32335575590556 3797.0 3712 3889 237.09375 14.798087661502077 236.0 202 277
2018-05 53406 3337.875 46.80928727293335 3336.0 3224 3421 208.6171875 13.55724039359942 208.0 174 241
